theta_deg,F1,FC_E,FC_H,F_E,F_H
0.85944,0.999944,0.995114,0.997222,0.995058,0.997166
0.86517,0.999943,0.995048,0.997185,0.994992,0.997128
0.87090,0.999942,0.994983,0.997147,0.994925,0.997090
0.87663,0.999941,0.994916,0.997110,0.994858,0.997051
0.88236,0.999941,0.994850,0.997072,0.994791,0.997013
0.88808,0.999940,0.994783,0.997034,0.994723,0.996974
0.89381,0.999939,0.994715,0.996995,0.994655,0.996935
0.89954,0.999938,0.994648,0.996957,0.994586,0.996895
0.90527,0.999938,0.994579,0.996918,0.994517,0.996856
0.91100,0.999937,0.994511,0.996879,0.994448,0.996816
0.91673,0.999936,0.994441,0.996840,0.994378,0.996776
0.92246,0.999935,0.994372,0.996800,0.994307,0.996735
0.92819,0.999934,0.994302,0.996760,0.994237,0.996695
0.93392,0.999934,0.994231,0.996720,0.994165,0.996654
0.93965,0.999933,0.994161,0.996680,0.994094,0.996613
0.94538,0.999932,0.994089,0.996639,0.994022,0.996571
0.95111,0.999931,0.994018,0.996598,0.993949,0.996530
0.95684,0.999930,0.993945,0.996557,0.993876,0.996488
0.96257,0.999929,0.993873,0.996516,0.993803,0.996446
0.96830,0.999929,0.993800,0.996474,0.993729,0.996403
0.97403,0.999928,0.993726,0.996433,0.993655,0.996361
0.97976,0.999927,0.993652,0.996391,0.993580,0.996318
0.98549,0.999926,0.993578,0.996348,0.993505,0.996275
0.99122,0.999925,0.993503,0.996306,0.993429,0.996231
0.99695,0.999924,0.993428,0.996263,0.993353,0.996188
1.00268,0.999923,0.993353,0.996220,0.993277,0.996144
1.00841,0.999923,0.993277,0.996177,0.993200,0.996100
1.01414,0.999922,0.993200,0.996133,0.993122,0.996055
1.01986,0.999921,0.993123,0.996090,0.993045,0.996011
1.02559,0.999920,0.993046,0.996046,0.992966,0.995966
1.03132,0.999919,0.992968,0.996001,0.992888,0.995921
1.03705,0.999918,0.992890,0.995957,0.992809,0.995875
1.04278,0.999917,0.992811,0.995912,0.992729,0.995830
1.04851,0.999916,0.992732,0.995867,0.992649,0.995784
1.05424,0.999915,0.992653,0.995822,0.992569,0.995738
1.05997,0.999914,0.992573,0.995776,0.992488,0.995691
1.06570,0.999914,0.992493,0.995731,0.992407,0.995645
1.07143,0.999913,0.992412,0.995685,0.992325,0.995598
1.07716,0.999912,0.992331,0.995639,0.992243,0.995551
1.08289,0.999911,0.992249,0.995592,0.992161,0.995503
1.08862,0.999910,0.992167,0.995545,0.992078,0.995456
1.09435,0.999909,0.992085,0.995499,0.991994,0.995408
1.10008,0.999908,0.992002,0.995451,0.991910,0.995360
1.10581,0.999907,0.991919,0.995404,0.991826,0.995311
1.11154,0.999906,0.991835,0.995356,0.991742,0.995263
1.11727,0.999905,0.991751,0.995308,0.991656,0.995214
1.12300,0.999904,0.991666,0.995260,0.991571,0.995165
1.12873,0.999903,0.991581,0.995212,0.991485,0.995115
1.13446,0.999902,0.991496,0.995163,0.991398,0.995066
1.14019,0.999901,0.991410,0.995114,0.991312,0.995016
1.14592,0.999900,0.991323,0.995065,0.991224,0.994966
1.15165,0.999899,0.991237,0.995016,0.991137,0.994915
1.15737,0.999898,0.991149,0.994966,0.991048,0.994865
1.16310,0.999897,0.991062,0.994916,0.990960,0.994814
1.16883,0.999896,0.990974,0.994866,0.990871,0.994763
1.17456,0.999895,0.990885,0.994816,0.990781,0.994711
1.18029,0.999894,0.990796,0.994765,0.990691,0.994660
1.18602,0.999893,0.990707,0.994714,0.990601,0.994608
1.19175,0.999892,0.990617,0.994663,0.990510,0.994556
1.19748,0.999891,0.990527,0.994612,0.990419,0.994503
1.20321,0.999890,0.990437,0.994560,0.990327,0.994451
1.20894,0.999889,0.990346,0.994509,0.990235,0.994398
1.21467,0.999888,0.990254,0.994457,0.990143,0.994345
1.22040,0.999887,0.990162,0.994404,0.990050,0.994291
1.22613,0.999886,0.990070,0.994352,0.989957,0.994238
1.23186,0.999884,0.989977,0.994299,0.989863,0.994184
1.23759,0.999883,0.989884,0.994246,0.989769,0.994130
1.24332,0.999882,0.989791,0.994193,0.989674,0.994076
1.24905,0.999881,0.989697,0.994139,0.989579,0.994021
1.25478,0.999880,0.989602,0.994085,0.989484,0.993966
1.26051,0.999879,0.989507,0.994031,0.989388,0.993911
1.26624,0.999878,0.989412,0.993977,0.989291,0.993856
1.27197,0.999877,0.989316,0.993923,0.989194,0.993800
1.27770,0.999876,0.989220,0.993868,0.989097,0.993744
1.28343,0.999875,0.989124,0.993813,0.989000,0.993688
1.28916,0.999873,0.989027,0.993758,0.988901,0.993632
1.29488,0.999872,0.988929,0.993702,0.988803,0.993575
1.30061,0.999871,0.988831,0.993646,0.988704,0.993518
1.30634,0.999870,0.988733,0.993590,0.988605,0.993461
1.31207,0.999869,0.988634,0.993534,0.988505,0.993404
1.31780,0.999868,0.988535,0.993478,0.988405,0.993346
1.32353,0.999867,0.988436,0.993421,0.988304,0.993289
1.32926,0.999865,0.988336,0.993364,0.988203,0.993230
1.33499,0.999864,0.988235,0.993307,0.988101,0.993172
1.34072,0.999863,0.988135,0.993250,0.987999,0.993114
1.34645,0.999862,0.988033,0.993192,0.987897,0.993055
1.35218,0.999861,0.987932,0.993134,0.987794,0.992996
1.35791,0.999860,0.987830,0.993076,0.987691,0.992936
1.36364,0.999858,0.987727,0.993017,0.987587,0.992877
1.36937,0.999857,0.987624,0.992959,0.987483,0.992817
1.37510,0.999856,0.987521,0.992900,0.987379,0.992757
1.38083,0.999855,0.987417,0.992841,0.987274,0.992697
1.38656,0.999854,0.987313,0.992781,0.987168,0.992636
1.39229,0.999852,0.987208,0.992722,0.987062,0.992575
1.39802,0.999851,0.987103,0.992662,0.986956,0.992514
1.40375,0.999850,0.986997,0.992602,0.986849,0.992453
1.40948,0.999849,0.986892,0.992542,0.986742,0.992391
1.41521,0.999847,0.986785,0.992481,0.986635,0.992330
1.42094,0.999846,0.986678,0.992420,0.986527,0.992268
1.42666,0.999845,0.986571,0.992359,0.986418,0.992205
1.43239,0.999844,0.986464,0.992298,0.986310,0.992143
1.43812,0.999843,0.986356,0.992236,0.986200,0.992080
