theta_deg,FH_single,FE_single,FH_double,FE_double
25.82321,0.111508,0.100373,0.004413,0.003972
25.82894,0.111838,0.100665,0.004318,0.003887
25.83467,0.112168,0.100958,0.004222,0.003800
25.84040,0.112498,0.101250,0.004126,0.003714
25.84613,0.112828,0.101542,0.004030,0.003626
25.85186,0.113158,0.101833,0.003932,0.003539
25.85759,0.113487,0.102125,0.003834,0.003450
25.86331,0.113817,0.102416,0.003735,0.003361
25.86904,0.114146,0.102708,0.003636,0.003272
25.87477,0.114475,0.102999,0.003536,0.003182
25.88050,0.114804,0.103289,0.003436,0.003091
25.88623,0.115132,0.103580,0.003334,0.003000
25.89196,0.115461,0.103871,0.003232,0.002908
25.89769,0.115789,0.104161,0.003130,0.002816
25.90342,0.116117,0.104451,0.003027,0.002723
25.90915,0.116445,0.104741,0.002923,0.002629
25.91488,0.116773,0.105031,0.002819,0.002535
25.92061,0.117101,0.105321,0.002714,0.002441
25.92634,0.117429,0.105610,0.002608,0.002345
25.93207,0.117756,0.105900,0.002502,0.002250
25.93780,0.118083,0.106189,0.002395,0.002153
25.94353,0.118411,0.106478,0.002287,0.002057
25.94926,0.118737,0.106767,0.002179,0.001959
25.95499,0.119064,0.107055,0.002070,0.001861
25.96072,0.119391,0.107344,0.001961,0.001763
25.96645,0.119717,0.107632,0.001851,0.001664
25.97218,0.120044,0.107920,0.001740,0.001564
25.97791,0.120370,0.108208,0.001628,0.001464
25.98364,0.120696,0.108496,0.001516,0.001363
25.98937,0.121022,0.108783,0.001404,0.001262
25.99510,0.121347,0.109071,0.001291,0.001160
26.00082,0.121673,0.109358,0.001177,0.001058
26.00655,0.121998,0.109645,0.001062,0.000955
26.01228,0.122323,0.109932,0.000947,0.000851
26.01801,0.122648,0.110219,0.000832,0.000747
26.02374,0.122973,0.110505,0.000715,0.000643
26.02947,0.123298,0.110791,0.000598,0.000538
